Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 67.0.3396.99,,2018-07-30 11:49:47,2018-07-30 11:49:58,"10,412s",PASSED
,,,,,,
Test Cases/TestCase1,Chrome 67.0.3396.99,,2018-07-30 11:49:48,2018-07-30 11:49:58,"9,940s",PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-30 11:49:48,2018-07-30 11:49:51,"2,817s",PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-30 11:49:51,2018-07-30 11:49:54,"2,804s",PASSED
click,Chrome 67.0.3396.99,,2018-07-30 11:49:54,2018-07-30 11:49:54,"0,643s",PASSED
setText,Chrome 67.0.3396.99,,2018-07-30 11:49:54,2018-07-30 11:49:55,"0,334s",PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-30 11:49:55,2018-07-30 11:49:55,"0,420s",PASSED
click,Chrome 67.0.3396.99,,2018-07-30 11:49:55,2018-07-30 11:49:56,"0,676s",PASSED
click,Chrome 67.0.3396.99,,2018-07-30 11:49:56,2018-07-30 11:49:56,"0,193s",PASSED
click,Chrome 67.0.3396.99,,2018-07-30 11:49:56,2018-07-30 11:49:57,"0,653s",PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-30 11:49:57,2018-07-30 11:49:58,"1,022s",PASSED
